addr,21,1,3,10,74,,1,9.2,1,0.8
arr1,24,0,0,31,45,,1,1.6,1,0.1
arr2,25,0,0,47,60,,1,7.4,1,0.2
arr2_1,25,0,0,0,59,,X,0.1,X,0.0
arr3,24,1,3,9,48,,1,6.1,1,0.2
arr4,24,0,0,61,64,,1,8.7,1,0.2
arr5,24,0,0,59,62,,1,5.8,1,0.2
arr6,25,1,3,30,56,,2,4.4,1,0.4
arr7,25,0,0,50,63,,1,6.9,1,0.1
arr7_1,24,2,9,9,46,,1,5.7,2,0.9
arr8,25,2,6,15,80,,1,8.8,4,0.5
arr9,27,1,3,43,83,,2,8,2,0.2
arr10,24,0,0,45,59,,1,1.3,1,0.0
arr11,24,2,3,41,83,,1,7,5,0.2
balancedBST1,51,0,0,155,171,,5,43.6,1,0.2
balancedBST2,56,3,2,56,134,,12,68.3,1,0.4
balancedBST2_1,56,1,3,95,134,,13,68.5,1,0.3
balancedBST2_2,47,7,5,92,147,,2,95.2,4,0.1
balancedBST2_3,52,5,3,68,133,,2,68.1,2,0.2
balancedBST3,57,1,3,97,137,,8,70,4,0.2
balancedBST3_1,57,3,2,58,137,,7,71.2,6,0.3
balancedBST3_2,55,5,3,68,141,,1,68.6,1,0.4
balancedBST4,46,5,3,95,145,,4,70.4,X,0.1
balancedBST4_1,52,0,0,147,163,,1,94,1,0.1
balancedBST4_2,51,7,5,61,154,,1,84.8,11,0.3
balancedBST5,52,0,0,168,184,,5,67.6,1,0.1
balancedBST6,51,7,5,61,140,,1,69.4,8,0.2
balancedBST7,52,0,0,143,159,,4,49,1,0.2
balancedBST8,59,3,2,57,134,,8,62.8,3,0.4
balancedBST8_1,59,3,2,57,134,,8,62.7,3,0.3
balancedBST8_2,54,0,0,140,156,,4,40.4,1,0.1
balancedBST9,55,0,0,169,185,,4,59.2,1,0.1
balancedBST10,47,0,0,140,157,,2,91,1,0.0
balancedBST10_1,47,0,0,0,163,,X,0.7,X,0.0
balancedBST10_2,52,0,0,156,172,,5,50.3,1,0.1
balancedBST10_3,55,7,5,75,162,,4,91.7,5,0.4
balancedBST11,54,5,3,135,196,,31,77,X,0.2
balancedBST11_1,60,0,0,198,214,,8,77.2,1,0.2
balancedBST12,47,5,3,94,146,,X,0.6,2,0.1
balancedBST12_1,56,5,3,68,164,,6,62.9,8,0.2
balancedBST13,53,0,0,184,200,,5,66.1,1,0.1
balancedBST14,59,0,0,186,202,,4,63.3,1,0.2
balancedBST15,53,0,0,181,197,,5,68.5,1,0.2
balancedBST16,64,7,5,79,181,,3,76.9,12,0.3
balancedBST17,48,5,3,113,186,,1,113.7,12,0.2
balancedBST17_1,52,0,0,185,201,,5,70,1,0.2
balancedBST17_2,55,7,5,79,177,,1,83.9,9,0.2
balancedBST18,51,3,2,115,187,,X,0.7,2,0.2
balancedBST18_1,56,0,0,188,204,,5,68.4,1,0.2
balancedBST19,47,5,3,112,158,,1,93.6,2,0.1
balancedBST19_1,52,6,3,112,175,,10,88.7,2,0.1
balancedBST19_2,55,5,3,86,154,,2,50.1,8,0.1
balancedBST20,52,0,0,153,169,,4,54,1,0.2
balancedBST20_1,55,7,5,61,152,,2,83.3,6,0.2
